Timestamp,Source,Item,Raw Count,Final Count,Whitelisted,Dead,Parked,Toplist,Queries,Status
10:03:19 15-04-24,Google Search,"specializes in creating innovative, user-friendly, and secure mobile applications for businesses loo...",2,2,0,0,0,0,1,saved
10:03:19 15-04-24,Google Search,"has an efficient team of management professionals who has more than 10 years of experience in the ca...",26,23,0,0,0,0,6,saved
12:24:23 15-04-24,Google Search,"is one of the leading chargeback firms worldwide. Specializing in online trading scams (Forex, Binar...",1,0,1,0,0,0,,unsaved
01:48:56 16-04-24,scamadviser.com,,6,0,0,0,0,0,,unsaved
01:55:27 16-04-24,scamadviser.com,,70,0,3,16,10,0,,unsaved
09:44:28 16-04-24,Manual,,9,9,0,0,0,0,,saved
10:03:22 16-04-24,aa419.org,,250,4,0,9,13,0,,saved
10:03:22 16-04-24,dnstwist,,34,34,0,0,0,0,,saved
10:03:22 16-04-24,guntab.com,,1814,1,0,285,95,0,,saved
10:03:22 16-04-24,petscams.com,,164,9,0,9,2,0,,saved
10:03:22 16-04-24,Regex,,672,671,1,0,0,0,,saved
10:03:22 16-04-24,scam.directory,,100,25,0,10,51,0,,saved
10:03:22 16-04-24,scamadviser.com,,63,0,3,16,9,0,,saved
10:03:22 16-04-24,stopgunscams.com,,75,1,0,4,0,0,,saved
10:03:22 16-04-24,Google Search,"committed to the progress of sustainability within our business practices. With consistent evaluatio...",100,1,0,1,0,0,10,saved
